t;P_W
0.0;2.05
0.9961532929209905;0.0
1.992306585841981;0.335
2.9884598787629715;0.0
3.984613171683962;0.0
4.980766464604953;0.004
5.976919757525943;0.008
6.973073050446933;0.1775
7.969226343367924;0.347
8.965379636288914;0.8425
9.961532929209906;1.338
10.957686222130896;1.348
11.953839515051886;0.3
12.949992807972876;2.38
13.946146100893866;8.349
14.942299393814857;13.53
15.938452686735848;13.88
16.934605979656837;13.85
17.930759272577827;13.54
18.92691256549882;13.87
19.92306585841981;13.889
20.9192191513408;13.87
21.91537244426179;13.54
22.91152573718278;13.85
23.907679030103772;3.21
24.903832323024762;1.321
25.899985615945752;1.3165
26.896138908866742;1.312
27.892292201787733;1.388
28.888445494708723;13.883
29.884598787629713;3.84
30.880752080550707;1.32
31.876905373471697;1.32
32.87305866639269;0.38
33.869211959313674;0.284
34.86536525223467;0.383
35.861518545155654;0.382
36.85767183807665;0.29
37.85382513099764;0.384
38.84997842391863;0.38
39.84613171683962;1.283
40.84228500976061;1.389
41.8384383026816;1.395
42.83459159560259;1.39
43.83074488852358;1.395
44.82689818144457;19.403
45.82305147436556;3.99
46.81920476728655;1.431
47.815358060207544;0.487
48.81151135312853;1.418
49.807664646049524;2.0
50.80381793897052;1.4
51.799971231891504;0.44
52.7961245248125;1.415
53.792277817733485;1.415
54.78843111065448;0.48
55.784584403575465;1.415
56.78073769649646;1.48
57.776890989417446;0.3
58.77304428233844;0.3
59.769197575259426;0.08
60.76535086818042;0.7805
61.76150416110141;1.481
62.7576574540224;0.38
63.753810746943394;14.528
64.74996403986438;4.3
65.74611733278537;4.3
66.74227062570637;4.3149999999999995
67.73842391862735;4.33
68.73457721154834;4.3
69.73073050446934;0.933
70.72688379739033;0.43
71.72303709031131;0.43
72.7191903832323;1.921
73.7153436761533;0.45
74.71149696907429;0.4
75.70765026199528;0.28
76.70380355491626;1.926
77.69995684783726;1.485
78.69611014075825;0.9
79.69226343367924;0.43
80.68841672660022;0.93
81.68457001952122;1.929
82.68072331244221;14.926
83.6768766053632;14.924
84.67302989828418;19.48
85.66918319120518;4.9
86.66533648412617;1.428
87.66148977704717;5.3
88.65764306996816;14.928
89.65379636288914;4.27
90.64994965581013;1.428
91.64610294873113;1.488
92.64225624165212;1.4569999999999999
93.6384095345731;1.426
94.6345628274941;0.4
95.63071612041509;0.27
96.62686941333608;0.132
97.62302270625706;0.048
98.61917599917805;0.014
99.61532929209905;0.422
100.61148258502004;4.385
101.60763587794104;0.93
102.60378917086202;0.433
103.59994246378301;1.431
104.596095756704;1.436
105.592249049625;1.93
106.58840234254598;1.43
107.58455563546697;1.93
108.58070892838796;1.932
109.57686222130896;1.932
110.57301551422995;1.942
111.56916880715093;1.433
112.56532210007192;1.31
113.56147539299292;9.432
114.55762868591391;14.39
115.55378197883489;4.36
116.54993527175588;1.41
117.54608856467688;0.432
118.54224185759787;1.433
119.53839515051885;0.437
120.53454844343985;0.113
121.53070173636084;0.195
122.52685502928183;0.439
123.52300832220283;1.439
124.5191616151238;1.94
125.5153149080448;0.94
126.5114682009658;0.36
127.50762149388679;0.439
128.50377478680778;1.109
129.49992807972876;0.36
130.49608137264974;0.943
131.49223466557075;0.9
132.48838795849173;1.413
133.48454125141274;4.945
134.48069454433372;0.9
135.4768478372547;1.13
136.4730011301757;1.938
137.46915442309668;0.9
138.4653077160177;1.432
139.46146100893867;0.92
140.45761430185965;0.94
141.45376759478066;0.943
142.44992088770164;1.191
143.44607418062262;1.439
144.44222747354362;0.97
145.4383807664646;1.413
146.4345340593856;0.9
147.4306873523066;0.94
148.42684064522757;0.943
149.42299393814858;0.39
150.41914723106956;0.437
151.41530052399057;0.094
152.41145381691155;0.115
153.40760710983253;14.4
154.40376040275353;9.4
155.3999136956745;9.4
156.3960669885955;14.35
157.3922202815165;14.39
158.38837357443748;14.38
159.3845268673585;9.45
160.38068016027947;14.38
161.37683345320045;9.3
162.37298674612146;14.33
163.36914003904243;1.411
164.36529333196344;1.943
165.36144662488442;1.94
166.3575999178054;1.94
167.3537532107264;1.437
168.3499065036474;19.488
169.34605979656837;19.588
170.34221308948938;19.873
171.33836638241036;19.43
172.33451967533136;9.45
173.33067296825234;4.8
174.32682626117332;1.492
175.32297955409433;1.493
176.3191328470153;1.438
177.31528613993632;1.438
178.3114394328573;0.439
179.30759272577828;1.436
180.3037460186993;14.289
181.29989931162027;14.58
182.29605260454125;19.43
183.29220589746225;19.45
184.28835919038323;9.0
185.28451248330424;14.8
186.28066577622522;14.95
187.2768190691462;4.37
188.2729723620672;0.92
189.2691256549882;1.334
190.2652789479092;1.297
191.26143224083017;1.294
192.25758553375115;1.296
193.25373882667216;1.296
194.24989211959314;1.293
195.24604541251412;1.292
196.24219870543513;1.89
197.2383519983561;1.293
198.23450529127712;1.296
199.2306585841981;1.295
200.22681187711908;1.294
201.22296517004008;1.294
202.21911846296106;1.293
203.21527175588207;1.294
204.21142504880305;1.294
205.20757834172403;1.294
206.20373163464504;1.293
207.19988492756602;1.9
208.196038220487;1.286
209.192191513408;1.285
210.18834480632898;0.28
