"Date and Time Run #1";"Time (s) Run #1";"Temperature 1, Ch X1 (°C) Run #1";"Temperature 2, Ch X1 (°C) Run #1";"Temperature 3, Ch X1 (°C) Run #1";"Temperature 1, Ch 1 (°C) Run #1";"Temperature 2, Ch 1 (°C) Run #1";"Temperature 3, Ch 1 (°C) Run #1"
05/08/2026 10:32:27 am;0,000;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,050;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,100;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,150;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,200;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,250;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,300;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,350;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,400;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,450;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,500;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,550;18,93;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,600;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,650;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,700;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,750;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,800;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:27 am;0,850;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,900;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:27 am;0,950;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:28 am;1,000;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:28 am;1,050;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,100;18,94;20,35;21,92;18,29;20,01;20,44
05/08/2026 10:32:28 am;1,150;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,200;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,250;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,300;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,350;18,94;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,400;18,93;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,450;18,94;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:28 am;1,500;19,04;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,550;19,13;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:28 am;1,600;19,14;20,35;21,91;18,29;20,00;20,43
05/08/2026 10:32:28 am;1,650;19,15;20,35;21,92;18,28;20,01;20,43
05/08/2026 10:32:28 am;1,700;19,15;20,35;21,92;18,29;20,00;20,44
05/08/2026 10:32:28 am;1,750;19,15;20,35;21,92;18,29;20,00;20,43
05/08/2026 10:32:28 am;1,800;19,15;20,35;21,92;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,850;19,15;20,35;21,91;18,29;20,01;20,44
05/08/2026 10:32:28 am;1,900;19,15;20,35;21,91;18,29;20,01;20,43
05/08/2026 10:32:28 am;1,950;19,15;20,35;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,000;19,15;20,35;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,050;19,15;20,35;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,100;19,15;20,36;21,92;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,150;19,15;20,36;21,92;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,200;19,15;20,36;21,91;18,29;20,01;20,44
05/08/2026 10:32:29 am;2,250;19,15;20,37;21,92;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,300;19,15;20,37;21,91;18,29;20,01;20,44
05/08/2026 10:32:29 am;2,350;19,15;20,38;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,400;19,15;20,39;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,450;19,15;20,39;21,92;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,500;19,15;20,40;21,91;18,28;20,01;20,44
05/08/2026 10:32:29 am;2,550;19,15;20,42;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,600;19,15;20,42;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,650;19,15;20,44;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,700;19,15;20,45;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,750;19,15;20,46;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,800;19,15;20,47;21,91;18,29;20,01;20,43
05/08/2026 10:32:29 am;2,850;19,15;20,49;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,900;19,15;20,51;21,91;18,28;20,01;20,43
05/08/2026 10:32:29 am;2,950;19,15;20,52;21,91;18,29;20,01;20,43
05/08/2026 10:32:30 am;3,000;19,15;20,54;21,91;18,28;20,01;20,43
05/08/2026 10:32:30 am;3,050;19,15;20,55;21,90;18,29;20,01;20,43
05/08/2026 10:32:30 am;3,100;19,15;20,57;21,90;18,29;20,01;20,43
05/08/2026 10:32:30 am;3,150;19,15;20,59;21,90;18,28;20,01;20,43
05/08/2026 10:32:30 am;3,200;19,15;20,60;21,90;18,29;20,01;20,43
05/08/2026 10:32:30 am;3,250;19,15;20,62;21,90;18,28;20,01;20,43
05/08/2026 10:32:30 am;3,300;19,15;20,64;21,90;18,29;20,01;20,42
05/08/2026 10:32:30 am;3,350;19,15;20,66;21,90;18,29;20,01;20,43
05/08/2026 10:32:30 am;3,400;19,15;20,68;21,90;18,29;20,01;20,42
05/08/2026 10:32:30 am;3,450;19,15;20,70;21,90;18,29;20,01;20,42
05/08/2026 10:32:30 am;3,500;19,15;20,72;21,90;18,28;20,01;20,42
05/08/2026 10:32:30 am;3,550;19,15;20,74;21,89;18,29;20,01;20,42
05/08/2026 10:32:30 am;3,600;19,15;20,76;21,89;18,29;20,01;20,42
05/08/2026 10:32:30 am;3,650;19,15;20,78;21,89;18,28;20,01;20,41
05/08/2026 10:32:30 am;3,700;19,15;20,80;21,89;18,28;20,01;20,40
05/08/2026 10:32:30 am;3,750;19,15;20,82;21,89;18,29;20,01;20,40
05/08/2026 10:32:30 am;3,800;19,15;20,84;21,89;18,28;20,01;20,39
05/08/2026 10:32:30 am;3,850;19,15;20,86;21,88;18,29;20,01;20,38
05/08/2026 10:32:30 am;3,900;19,15;20,88;21,88;18,29;20,01;20,37
05/08/2026 10:32:30 am;3,950;19,15;20,90;21,88;18,29;20,01;20,36
05/08/2026 10:32:31 am;4,000;19,15;20,92;21,88;18,29;20,01;20,34
05/08/2026 10:32:31 am;4,050;19,15;20,95;21,88;18,29;20,01;20,33
05/08/2026 10:32:31 am;4,100;19,15;20,97;21,88;18,29;20,01;20,31
05/08/2026 10:32:31 am;4,150;19,15;20,99;21,87;18,28;20,01;20,30
05/08/2026 10:32:31 am;4,200;19,15;21,01;21,87;18,29;20,01;20,28
05/08/2026 10:32:31 am;4,250;19,15;21,03;21,87;18,29;20,01;20,26
05/08/2026 10:32:31 am;4,300;19,15;21,05;21,87;18,28;20,01;20,23
05/08/2026 10:32:31 am;4,350;19,15;21,07;21,86;18,29;20,01;20,22
05/08/2026 10:32:31 am;4,400;19,15;21,10;21,86;18,29;20,01;20,19
05/08/2026 10:32:31 am;4,450;19,15;21,12;21,86;18,29;20,01;20,17
05/08/2026 10:32:31 am;4,500;19,15;21,14;21,86;18,29;20,01;20,14
05/08/2026 10:32:31 am;4,550;19,15;21,16;21,86;18,28;20,01;20,11
05/08/2026 10:32:31 am;4,600;19,15;21,18;21,85;18,28;20,01;20,08
05/08/2026 10:32:31 am;4,650;19,15;21,21;21,85;18,29;20,01;20,05
05/08/2026 10:32:31 am;4,700;19,15;21,23;21,85;18,29;20,01;20,02
05/08/2026 10:32:31 am;4,750;19,15;21,25;21,85;18,29;20,01;19,99
05/08/2026 10:32:31 am;4,800;19,15;21,27;21,84;18,29;20,01;19,96
05/08/2026 10:32:31 am;4,850;19,15;21,29;21,85;18,29;20,01;19,92
05/08/2026 10:32:31 am;4,900;19,15;21,31;21,84;18,28;20,01;19,89
05/08/2026 10:32:31 am;4,950;19,15;21,33;21,84;18,29;20,01;19,86
05/08/2026 10:32:32 am;5,000;19,15;21,36;21,84;18,28;20,01;19,83
05/08/2026 10:32:32 am;5,050;19,15;21,38;21,84;18,29;20,01;19,79
05/08/2026 10:32:32 am;5,100;19,15;21,40;21,83;18,29;20,01;19,75
05/08/2026 10:32:32 am;5,150;19,15;21,42;21,83;18,29;20,01;19,72
