"Time (s) Run #1";"Temperature 1, Ch 2 (°C) Run #1";"Temperature 2, Ch 2 (°C) Run #1";"Temperature 3, Ch 2 (°C) Run #1";"Temperature 1, Ch 1 (°C) Run #1";"Temperature 2, Ch 1 (°C) Run #1";"Temperature 3, Ch 1 (°C) Run #1";"Time (s) Run #2";"Temperature 1, Ch 1 (°C) Run #2";"Temperature 2, Ch 1 (°C) Run #2";"Temperature 3, Ch 1 (°C) Run #2";"Force Beam 1 (N) Run #2";"Force Beam 2 (N) Run #2";"Force Beam 3 (N) Run #2";"Force Beam 4 (N) Run #2";"Normal Force (N) Run #2";"Parallel Force (N) Run #2";"Time (s) Run #3";"Temperature 1, Ch 1 (°C) Run #3";"Temperature 2, Ch 1 (°C) Run #3";"Temperature 3, Ch 1 (°C) Run #3";"Force Beam 1 (N) Run #3";"Force Beam 2 (N) Run #3";"Force Beam 3 (N) Run #3";"Force Beam 4 (N) Run #3";"Normal Force (N) Run #3";"Parallel Force (N) Run #3";"Time (s) Run #4";"Temperature 1, Ch 1 (°C) Run #4";"Temperature 2, Ch 1 (°C) Run #4";"Temperature 3, Ch 1 (°C) Run #4";"Force Beam 1 (N) Run #4";"Force Beam 2 (N) Run #4";"Force Beam 3 (N) Run #4";"Force Beam 4 (N) Run #4";"Normal Force (N) Run #4";"Parallel Force (N) Run #4";"Time (s) Run #5";"Temperature 1, Ch 2 (°C) Run #5";"Temperature 2, Ch 2 (°C) Run #5";"Temperature 3, Ch 2 (°C) Run #5";"Temperature 1, Ch 1 (°C) Run #5";"Temperature 2, Ch 1 (°C) Run #5";"Temperature 3, Ch 1 (°C) Run #5";"Time (s) Run #6";"Temperature 1, Ch 2 (°C) Run #6";"Temperature 2, Ch 2 (°C) Run #6";"Temperature 3, Ch 2 (°C) Run #6";"Temperature 1, Ch 1 (°C) Run #6";"Temperature 2, Ch 1 (°C) Run #6";"Temperature 3, Ch 1 (°C) Run #6"
0,000;18,94;20,35;21,92;18,28;20,01;20,43;0,000;19,86;20,19;20,24;-28,26;29,72;-26,95;29,57;4,07;0,06;0,000;17,17;20,07;21,06;-28,31;29,64;-27,01;29,46;3,78;-0,02;0,000;12,91;17,79;20,78;-28,37;29,39;-27,09;29,70;3,64;-0,02;0,000;11,41;19,32;20,05;13,03;18,91;20,36;0,000;11,63;18,10;20,17;13,09;19,62;20,37
0,050;18,94;20,35;21,92;18,28;20,01;20,43;0,050;19,86;20,20;20,24;-28,37;29,55;-26,98;29,57;3,78;-0,02;0,050;17,17;20,07;21,06;-28,42;29,72;-26,95;29,60;3,94;-0,02;0,050;12,91;17,79;20,78;-28,34;29,33;-26,87;29,70;3,82;-0,02;0,050;11,41;19,31;20,05;13,04;18,91;20,36;0,050;11,63;18,09;20,17;13,09;19,62;20,37
0,100;18,93;20,35;21,92;18,29;20,01;20,43;0,100;19,86;20,20;20,24;-28,29;29,50;-26,79;29,68;4,10;0,06;0,100;17,17;20,07;21,06;-28,47;29,50;-27,06;29,60;3,56;-0,02;0,100;12,91;17,79;20,77;-28,23;29,19;-27,09;29,84;3,71;-0,06;0,100;11,41;19,31;20,05;13,04;18,91;20,36;0,100;11,63;18,09;20,17;13,09;19,62;20,37
0,150;18,94;20,35;21,92;18,29;20,01;20,43;0,150;19,86;20,19;20,24;-28,37;29,64;-26,84;29,57;3,99;0,10;0,150;17,17;20,07;21,06;-28,39;29,58;-27,03;29,41;3,56;-0,02;0,150;12,91;17,79;20,77;-28,16;29,30;-27,06;29,70;3,79;-0,02;0,150;11,41;19,31;20,05;13,04;18,91;20,36;0,150;11,62;18,09;20,18;13,09;19,63;20,37
0,200;18,94;20,35;21,92;18,28;20,01;20,43;0,200;19,86;20,20;20,24;-28,42;29,47;-26,90;29,60;3,75;0,02;0,200;17,17;20,07;21,06;-28,47;29,72;-27,03;29,49;3,70;-0,10;0,200;12,91;17,79;20,77;-28,21;29,30;-26,93;29,73;3,90;-0,02;0,200;11,41;19,31;20,05;13,03;18,91;20,36;0,200;11,62;18,09;20,18;13,08;19,62;20,37
0,250;18,94;20,35;21,92;18,29;20,01;20,43;0,250;19,86;20,20;20,24;-28,45;29,42;-26,76;29,65;3,86;-0,02;0,250;17,17;20,07;21,06;-28,34;29,86;-27,14;29,57;3,94;-0,06;0,250;12,91;17,79;20,77;-28,13;29,25;-27,01;29,60;3,71;0,06;0,250;11,41;19,31;20,05;13,03;18,91;20,36;0,250;11,63;18,09;20,18;13,09;19,62;20,37
0,300;18,93;20,35;21,92;18,29;20,01;20,43;0,300;19,86;20,20;20,24;-28,29;29,77;-26,90;29,52;4,10;-0,02;0,300;17,17;20,07;21,06;-28,39;29,58;-27,06;29,54;3,67;-0,10;0,300;12,91;17,78;20,77;-28,18;29,17;-26,82;29,70;3,87;-0,06;;;;;;;;0,300;11,62;18,09;20,18;13,09;19,62;20,37
0,350;18,94;20,35;21,92;18,29;20,01;20,43;0,350;19,86;20,20;20,24;-28,42;29,83;-26,90;29,52;4,03;-0,02;0,350;17,17;20,07;21,06;-28,50;29,58;-27,20;29,44;3,32;-0,10;0,350;12,91;17,78;20,77;-28,26;29,25;-27,01;29,76;3,74;-0,02;;;;;;;;0,350;11,63;18,09;20,18;13,08;19,63;20,37
0,400;18,94;20,35;21,92;18,29;20,01;20,43;0,400;19,86;20,20;20,24;-28,37;29,64;-26,93;29,68;4,02;-0,02;0,400;17,17;20,07;21,06;-28,37;29,83;-27,06;29,38;3,78;-0,06;0,400;12,91;17,78;20,77;-28,18;29,19;-27,01;29,76;3,76;0,06;;;;;;;;0,400;11,62;18,09;20,18;13,09;19,62;20,37
0,450;18,94;20,35;21,92;18,29;20,01;20,43;0,450;19,86;20,19;20,24;-28,31;29,72;-27,01;29,49;3,89;0,06;0,450;17,17;20,06;21,06;-28,45;29,88;-27,09;29,49;3,84;-0,02;0,450;12,91;17,78;20,77;-28,10;29,42;-27,03;29,65;3,93;-0,06;;;;;;;;0,450;11,63;18,09;20,19;13,09;19,62;20,37
0,500;18,94;20,35;21,92;18,29;20,01;20,43;0,500;19,86;20,19;20,24;-28,45;29,64;-26,82;29,57;3,94;0,02;0,500;17,17;20,07;21,06;-28,47;29,66;-27,12;29,52;3,59;-0,06;0,500;12,91;17,78;20,77;-28,26;29,19;-26,98;29,68;3,63;0,02;;;;;;;;0,500;11,62;18,09;20,19;13,09;19,63;20,37
0,550;18,93;20,35;21,92;18,28;20,01;20,43;0,550;19,86;20,19;20,24;-28,31;29,77;-26,95;29,60;4,10;-0,06;0,550;17,17;20,07;21,06;-28,39;29,66;-27,06;29,49;3,70;0,02;0,550;12,91;17,78;20,77;-28,13;29,17;-27,01;29,78;3,81;-0,06;;;;;;;;0,550;11,62;18,09;20,19;13,09;19,62;20,37
0,600;18,94;20,35;21,92;18,28;20,01;20,43;0,600;19,86;20,20;20,24;-28,42;29,58;-26,95;29,62;3,83;-0,06;0,600;17,17;20,07;21,06;-28,37;29,83;-27,14;29,44;3,76;0,06;0,600;12,91;17,78;20,77;-28,23;29,30;-27,09;29,70;3,68;0,02;;;;;;;;0,600;11,62;18,09;20,19;13,09;19,62;20,37
0,650;18,94;20,35;21,92;18,29;20,01;20,43;0,650;19,86;20,20;20,24;-28,53;29,66;-26,98;29,57;3,73;-0,02;0,650;17,17;20,07;21,06;-28,47;29,77;-27,12;29,44;3,62;0,06;0,650;12,91;17,78;20,77;-28,16;29,36;-27,09;29,68;3,79;-0,02;;;;;;;;0,650;11,63;18,08;20,19;13,09;19,62;20,37
0,700;18,94;20,35;21,92;18,29;20,01;20,43;0,700;19,86;20,20;20,24;-28,29;29,66;-26,87;29,49;3,99;-0,06;0,700;17,17;20,07;21,06;-28,39;29,83;-26,98;29,68;4,13;-0,02;0,700;12,91;17,78;20,77;-28,29;29,30;-27,01;29,81;3,82;-0,10;;;;;;;;0,700;11,63;18,08;20,19;13,09;19,63;20,37
0,750;18,94;20,35;21,92;18,28;20,01;20,43;0,750;19,86;20,20;20,24;-28,37;29,69;-26,93;29,49;3,89;0,06;0,750;17,16;20,07;21,06;-28,45;29,72;-27,06;29,49;3,70;0,06;0,750;12,91;17,78;20,76;-28,26;29,17;-27,01;29,73;3,63;-0,06;;;;;;;;0,750;11,63;18,08;20,20;13,09;19,62;20,37
0,800;18,93;20,35;21,92;18,29;20,01;20,43;0,800;19,86;20,20;20,24;-28,34;29,66;-26,76;29,49;4,05;-0,02;0,800;17,16;20,07;21,06;-28,34;29,88;-27,01;29,54;4,08;0,02;0,800;12,91;17,78;20,77;-28,26;29,28;-26,87;29,78;3,93;0,06;;;;;;;;0,800;11,63;18,08;20,20;13,09;19,62;20,37
0,850;18,94;20,35;21,92;18,28;20,01;20,43;0,850;19,87;20,20;20,24;-28,34;29,72;-26,84;29,60;4,13;0,06;0,850;17,16;20,07;21,06;-28,50;29,58;-27,01;29,41;3,48;-0,02;0,850;12,91;17,78;20,77;-28,26;29,36;-26,98;29,84;3,96;0,02;;;;;;;;0,850;11,63;18,08;20,20;13,09;19,63;20,36
0,900;18,94;20,35;21,92;18,28;20,01;20,43;0,900;19,86;20,20;20,24;-28,39;29,77;-26,93;29,54;4,00;0,02;0,900;17,16;20,07;21,06;-28,39;29,61;-27,09;29,36;3,48;-0,02;0,900;12,91;17,78;20,77;-28,16;29,30;-26,90;29,73;3,98;-0,02;;;;;;;;0,900;11,63;18,08;20,20;13,09;19,62;20,36
0,950;18,94;20,35;21,92;18,28;20,01;20,43;0,950;19,86;20,20;20,24;-28,50;29,58;-26,90;29,62;3,81;0,06;0,950;17,16;20,07;21,06;-28,39;29,88;-27,12;29,57;3,94;0,02;0,950;12,91;17,78;20,76;-28,21;29,28;-26,93;29,73;3,87;-0,02;;;;;;;;0,950;11,63;18,08;20,20;13,09;19,63;20,37
