"Date and Time Run #8";"Time (s) Run #8";"Temperature 1, Ch 2 (°C) Run #8";"Temperature 2, Ch 2 (°C) Run #8";"Temperature 3, Ch 2 (°C) Run #8";"Temperature 1, Ch 1 (°C) Run #8";"Temperature 2, Ch 1 (°C) Run #8";"Temperature 3, Ch 1 (°C) Run #8"
05/08/2026 11:41:00 am;0,000;25,82;26,21;27,49;5,81;9,91;8,27
05/08/2026 11:41:00 am;0,050;25,82;26,22;27,49;5,81;9,92;8,27
05/08/2026 11:41:00 am;0,100;25,82;26,22;27,49;5,81;9,92;8,27
05/08/2026 11:41:00 am;0,150;25,82;26,22;27,48;5,81;9,93;8,27
05/08/2026 11:41:00 am;0,200;25,82;26,22;27,48;5,81;9,93;8,27
05/08/2026 11:41:00 am;0,250;25,82;26,22;27,48;5,81;9,94;8,27
05/08/2026 11:41:00 am;0,300;25,81;26,22;27,48;5,81;9,94;8,27
05/08/2026 11:41:00 am;0,350;25,82;26,22;27,47;5,81;9,95;8,26
05/08/2026 11:41:00 am;0,400;25,82;26,22;27,47;5,81;9,96;8,26
05/08/2026 11:41:00 am;0,450;25,82;26,22;27,47;5,81;9,97;8,27
05/08/2026 11:41:00 am;0,500;25,82;26,22;27,46;5,81;9,97;8,27
05/08/2026 11:41:00 am;0,550;25,82;26,22;27,46;5,81;9,98;8,26
05/08/2026 11:41:00 am;0,600;25,81;26,22;27,46;5,81;9,99;8,26
05/08/2026 11:41:00 am;0,650;25,81;26,22;27,46;5,81;10,00;8,26
05/08/2026 11:41:00 am;0,700;25,82;26,22;27,46;5,81;10,01;8,26
05/08/2026 11:41:00 am;0,750;25,82;26,22;27,45;5,81;10,02;8,26
05/08/2026 11:41:00 am;0,800;25,82;26,22;27,45;5,81;10,02;8,26
05/08/2026 11:41:00 am;0,850;25,82;26,22;27,45;5,81;10,03;8,26
05/08/2026 11:41:00 am;0,900;25,82;26,22;27,45;5,81;10,04;8,26
05/08/2026 11:41:00 am;0,950;25,82;26,22;27,45;5,81;10,05;8,25
05/08/2026 11:41:01 am;1,000;25,81;26,22;27,45;5,81;10,06;8,25
05/08/2026 11:41:01 am;1,050;25,82;26,22;27,45;5,81;10,07;8,26
05/08/2026 11:41:01 am;1,100;25,82;26,23;27,44;5,81;10,07;8,25
05/08/2026 11:41:01 am;1,150;25,81;26,22;27,45;5,81;10,08;8,25
05/08/2026 11:41:01 am;1,200;25,81;26,23;27,44;5,81;10,09;8,25
05/08/2026 11:41:01 am;1,250;25,82;26,23;27,44;5,81;10,09;8,25
05/08/2026 11:41:01 am;1,300;25,82;26,23;27,44;5,81;10,11;8,25
05/08/2026 11:41:01 am;1,350;25,82;26,23;27,44;5,80;10,11;8,25
05/08/2026 11:41:01 am;1,400;25,82;26,24;27,44;5,81;10,12;8,25
05/08/2026 11:41:01 am;1,450;25,81;26,24;27,43;5,80;10,12;8,25
05/08/2026 11:41:01 am;1,500;25,82;26,24;27,43;5,81;10,13;8,24
05/08/2026 11:41:01 am;1,550;25,81;26,24;27,44;5,81;10,14;8,25
05/08/2026 11:41:01 am;1,600;25,81;26,24;27,44;5,81;10,14;8,24
05/08/2026 11:41:01 am;1,650;25,82;26,25;27,43;5,80;10,15;8,24
05/08/2026 11:41:01 am;1,700;25,81;26,25;27,43;5,81;10,15;8,24
05/08/2026 11:41:01 am;1,750;25,82;26,25;27,43;5,81;10,16;8,24
05/08/2026 11:41:01 am;1,800;25,82;26,25;27,43;5,81;10,16;8,24
05/08/2026 11:41:01 am;1,850;25,82;26,25;27,43;5,81;10,17;8,24
05/08/2026 11:41:01 am;1,900;25,82;26,25;27,42;5,81;10,17;8,24
05/08/2026 11:41:01 am;1,950;25,82;26,26;27,42;5,81;10,17;8,24
05/08/2026 11:41:02 am;2,000;25,81;26,26;27,42;5,81;10,18;8,24
05/08/2026 11:41:02 am;2,050;25,82;26,26;27,42;5,81;10,19;8,24
05/08/2026 11:41:02 am;2,100;25,82;26,26;27,42;5,81;10,19;8,24
05/08/2026 11:41:02 am;2,150;25,82;26,26;27,42;5,81;10,20;8,25
05/08/2026 11:41:02 am;2,200;25,82;26,27;27,42;5,80;10,20;8,25
05/08/2026 11:41:02 am;2,250;25,81;26,27;27,42;5,80;10,20;8,24
05/08/2026 11:41:02 am;2,300;25,82;26,27;27,42;5,80;10,21;8,25
05/08/2026 11:41:02 am;2,350;25,81;26,27;27,42;5,80;10,21;8,25
05/08/2026 11:41:02 am;2,400;25,82;26,27;27,42;5,81;10,22;8,25
05/08/2026 11:41:02 am;2,450;25,82;26,28;27,41;5,80;10,22;8,25
05/08/2026 11:41:02 am;2,500;25,82;26,28;27,41;5,80;10,23;8,25
05/08/2026 11:41:02 am;2,550;25,82;26,28;27,41;5,80;10,23;8,25
05/08/2026 11:41:02 am;2,600;25,82;26,28;27,41;5,80;10,24;8,26
05/08/2026 11:41:02 am;2,650;25,82;26,28;27,41;5,81;10,24;8,25
05/08/2026 11:41:02 am;2,700;25,82;26,28;27,41;5,81;10,24;8,26
05/08/2026 11:41:02 am;2,750;25,82;26,28;27,41;5,80;10,25;8,25
05/08/2026 11:41:02 am;2,800;25,82;26,29;27,41;5,81;10,26;8,26
05/08/2026 11:41:02 am;2,850;25,82;26,29;27,41;5,81;10,26;8,26
05/08/2026 11:41:02 am;2,900;25,82;26,29;27,41;5,80;10,26;8,26
05/08/2026 11:41:02 am;2,950;25,82;26,29;27,41;5,81;10,27;8,26
05/08/2026 11:41:03 am;3,000;25,82;26,29;27,41;5,80;10,27;8,27
05/08/2026 11:41:03 am;3,050;25,82;26,30;27,41;5,80;10,27;8,26
05/08/2026 11:41:03 am;3,100;25,82;26,30;27,41;5,80;10,28;8,27
05/08/2026 11:41:03 am;3,150;25,82;26,31;27,41;5,81;10,28;8,26
05/08/2026 11:41:03 am;3,200;25,82;26,31;27,41;5,81;10,28;8,26
05/08/2026 11:41:03 am;3,250;25,82;26,31;27,41;5,81;10,28;8,26
05/08/2026 11:41:03 am;3,300;25,82;26,32;27,41;5,80;10,29;8,26
05/08/2026 11:41:03 am;3,350;25,82;26,33;27,41;5,80;10,29;8,26
05/08/2026 11:41:03 am;3,400;25,82;26,34;27,41;5,80;10,29;8,25
05/08/2026 11:41:03 am;3,450;25,82;26,35;27,41;5,80;10,29;8,25
05/08/2026 11:41:03 am;3,500;25,82;26,36;27,41;5,80;10,29;8,25
05/08/2026 11:41:03 am;3,550;25,82;26,37;27,40;5,80;10,29;8,24
05/08/2026 11:41:03 am;3,600;25,82;26,38;27,40;5,80;10,30;8,24
05/08/2026 11:41:03 am;3,650;25,82;26,40;27,40;5,80;10,30;8,23
05/08/2026 11:41:03 am;3,700;25,82;26,41;27,40;5,80;10,30;8,23
05/08/2026 11:41:03 am;3,750;25,82;26,43;27,40;5,80;10,30;8,22
05/08/2026 11:41:03 am;3,800;25,82;26,44;27,40;5,81;10,30;8,22
05/08/2026 11:41:03 am;3,850;25,82;26,46;27,40;5,80;10,30;8,21
05/08/2026 11:41:03 am;3,900;25,82;26,48;27,40;5,80;10,30;8,21
05/08/2026 11:41:03 am;3,950;25,82;26,50;27,40;5,80;10,30;8,20
05/08/2026 11:41:04 am;4,000;25,82;26,51;27,40;5,80;10,30;8,20
05/08/2026 11:41:04 am;4,050;25,82;26,53;27,40;5,80;10,30;8,19
05/08/2026 11:41:04 am;4,100;25,82;26,55;27,40;5,80;10,30;8,18
05/08/2026 11:41:04 am;4,150;25,82;26,57;27,40;5,80;10,29;8,17
05/08/2026 11:41:04 am;4,200;25,82;26,59;27,40;5,80;10,30;8,17
05/08/2026 11:41:04 am;4,250;25,82;26,61;27,40;5,80;10,29;8,16
05/08/2026 11:41:04 am;4,300;25,82;26,63;27,39;5,80;10,30;8,16
05/08/2026 11:41:04 am;4,350;25,82;26,65;27,39;5,80;10,29;8,15
05/08/2026 11:41:04 am;4,400;25,82;26,68;27,39;5,80;10,30;8,14
05/08/2026 11:41:04 am;4,450;25,82;26,70;27,39;5,80;10,29;8,13
05/08/2026 11:41:04 am;4,500;25,82;26,73;27,39;5,80;10,30;8,13
05/08/2026 11:41:04 am;4,550;25,82;26,75;27,39;5,80;10,29;8,12
05/08/2026 11:41:04 am;4,600;25,82;26,77;27,39;5,80;10,29;8,11
05/08/2026 11:41:04 am;4,650;25,82;26,80;27,38;5,80;10,29;8,10
05/08/2026 11:41:04 am;4,700;25,82;26,82;27,38;5,80;10,29;8,10
05/08/2026 11:41:04 am;4,750;25,82;26,84;27,38;5,80;10,29;8,09
05/08/2026 11:41:04 am;4,800;25,82;26,87;27,38;5,80;10,29;8,08
05/08/2026 11:41:04 am;4,850;25,82;26,89;27,38;5,80;10,29;8,07
05/08/2026 11:41:04 am;4,900;25,82;26,92;27,37;5,80;10,29;8,07
05/08/2026 11:41:04 am;4,950;25,82;26,94;27,37;5,80;10,28;8,06
05/08/2026 11:41:05 am;5,000;25,82;26,97;27,37;5,80;10,29;8,05
05/08/2026 11:41:05 am;5,050;25,82;26,99;27,37;5,80;10,29;8,04
05/08/2026 11:41:05 am;5,100;25,82;27,02;27,37;5,80;10,29;8,03
05/08/2026 11:41:05 am;5,150;25,82;27,04;27,37;5,80;10,28;8,03
05/08/2026 11:41:05 am;5,200;25,82;27,07;27,36;5,80;10,28;8,02
05/08/2026 11:41:05 am;5,250;25,82;27,10;27,36;5,80;10,28;8,01
05/08/2026 11:41:05 am;5,300;25,82;27,12;27,36;5,80;10,28;8,00
05/08/2026 11:41:05 am;5,350;25,83;27,15;27,36;5,80;10,28;7,99
05/08/2026 11:41:05 am;5,400;25,82;27,17;27,36;5,80;10,28;7,98
05/08/2026 11:41:05 am;5,450;25,82;27,20;27,36;5,80;10,27;7,97
05/08/2026 11:41:05 am;5,500;25,82;27,22;27,35;5,80;10,28;7,97
05/08/2026 11:41:05 am;5,550;25,82;27,25;27,35;5,80;10,28;7,95
